Time,Setpoint,Measured_Temperature,True_Temperature,Ambient_Temp,Controller_Output,Error,Delta_Error
7419,55,55.913132390800975,55.29214103364365,27,1.0,-0.9131323908009747,-0.9183676206416891
7420,55,55.30442178984377,55.450284639993846,27,0.0,-0.3044217898437722,0.6087106009572025
7421,55,54.56785859301802,55.308388253377764,27,0.0,0.4321414069819767,0.7365631968257489
7422,55,54.763892929110895,55.16719957794242,27,1.0,0.23610707088910488,-0.1960343360928718
7423,55,54.91522480537962,55.32596633240262,27,1.0,0.08477519462037719,-0.15133187626872768
7424,55,55.678112356164135,55.48394123437144,27,1.0,-0.6781123561641351,-0.7628875507845123
7425,55,55.52582287723019,55.64112823322966,27,0.0,-0.5258228772301905,0.15228947893394462
7426,55,55.74055951856654,55.49828001022137,27,1.0,-0.7405595185665419,-0.2147366413363514
7427,55,55.53777970422517,55.65539549413669,27,0.0,-0.5377797042251728,0.20277981434136905
7428,55,55.063388716153916,55.512476112867766,27,0.0,-0.06338871615391639,0.47439098807125646
7429,55,54.66894869489095,55.37026954498669,27,0.0,0.33105130510904957,0.39444002126296596
7430,55,55.6961868431023,55.22877223532186,27,1.0,-0.6961868431023035,-1.027238148211353
7431,55,54.98148231858824,55.38723189487223,27,0.0,0.018517681411758247,0.7147045245140617
7432,55,55.36576318955039,55.2456499851344,27,1.0,-0.36576318955039255,-0.3842808709621508
7433,55,55.04255955005393,55.40402546655639,27,0.0,-0.042559550053930195,0.32320363949646236
7434,55,55.6442313124414,55.26235979853036,27,1.0,-0.6442313124413985,-0.6016717623874683
7435,55,55.53165298150905,55.420651939410355,27,0.0,-0.5316529815090476,0.11257833093235092
7436,55,55.03152502916844,55.27890334650501,27,0.0,-0.03152502916844213,0.5001279523406055
7437,55,55.15714616541428,55.13786172765619,27,1.0,-0.15714616541428228,-0.12562113624584015
7438,55,55.67000748635248,55.29677480525513,27,1.0,-0.6700074863524819,-0.5128613209381996
7439,55,55.074492318709645,55.454895300573,27,0.0,-0.07449231870964468,0.5955151676428372
7440,55,54.84508381129621,55.31297591819134,27,0.0,0.15491618870378687,0.22940850741343155
7441,55,56.0590481050409,55.17176436168228,27,1.0,-1.059048105040901,-1.213964293744688
7442,55,55.92217302642422,55.3305083491886,27,0.0,-0.9221730264242183,0.1368750786166828
7443,55,55.8388388754712,55.18920934931513,27,0.0,-0.8388388754711968,0.08333415095302144
7444,55,54.488760048286444,55.04861508114359,27,0.0,0.5112399517135557,1.3500788271847526
7445,55,55.25557555025932,54.90872202980994,27,1.0,-0.2555755502593229,-0.7668155019728786
7446,55,54.95677775769879,55.06877794641967,27,0.0,0.04322224230121208,0.29879779256053496
7447,55,55.707965439272115,54.928784332375926,27,1.0,-0.7079654392721153,-0.7511876815733274
7448,55,55.28468869578842,55.088740187834176,27,0.0,-0.28468869578841804,0.42327674348369726
7449,55,54.94092585338209,54.94864701169601,27,0.0,0.05907414661790966,0.3437628424063277
7450,55,54.15833993371555,54.8092525531888,27,0.0,0.8416600662844473,0.7825859196665377
7451,55,54.579442190760695,54.67055332744381,27,1.0,0.4205578092393054,-0.4211022570451419
7452,55,53.86985662457647,54.83179711541225,27,0.0,1.130143375423529,0.7095855661842236
7453,55,54.611980398992294,54.69298544819409,27,1.0,0.3880196010077057,-0.7421237744158233
7454,55,54.46167570212724,54.854117355493536,27,0.0,0.5383242978727623,0.15030469686505654
7455,55,55.16682668523289,54.71519436561354,27,1.0,-0.16682668523289124,-0.7051509831056535
7456,55,55.50992527887158,54.87621550547525,27,1.0,-0.5099252788715773,-0.3430985936386861
7457,55,55.17490838831151,55.03643354905148,27,0.0,-0.17490838831150768,0.33501689056006967
7458,55,54.22768788631921,54.896601253362604,27,0.0,0.7723121136807904,0.9472205019922981
7459,55,55.04194484341494,54.757466374158014,27,1.0,-0.04194484341493876,-0.8142569570957292
7460,55,55.27414989446517,54.91827668149754,27,1.0,-0.27414989446516813,-0.23220505105022937
7461,55,54.01403545417489,55.07828494408318,27,0.0,0.9859645458251123,1.2601144402902804
7462,55,55.31052376722514,54.93824391369077,27,1.0,-0.31052376722514197,-1.2964883130502542
7463,55,54.434065282728625,55.098152589290386,27,0.0,0.5659347172713751,0.8764584844965171
7464,55,55.25673613741514,54.95801246860411,27,1.0,-0.2567361374151389,-0.822670854686514
7465,55,55.56632377720788,55.117822548124764,27,1.0,-0.5663237772078773,-0.3095876397927384
7466,55,55.81810851726644,55.27683557154859,27,1.0,-0.8181085172664382,-0.2517847400585609
