Time,Error,Delta_Error,PID_Output_Power,Measured_Temperature,True_Temperature,Setpoint,Ambient_Temp
726,-1.497164970195719,-0.928088000124351,0.0,26.49716497019572,25.452825913333825,25,25
727,-1.0876221765568381,0.4095427936388809,0.0,26.087622176556838,25.45056743466898,25,25
728,0.06906593929836902,1.1566881158552071,0.0,24.93093406070163,25.448320220213468,25,25
729,0.22423905687232448,0.15517311757395547,0.0,24.775760943127676,25.44608421378681,25,25
730,-0.42972231265217786,-0.6539613695245023,0.0,25.429722312652178,25.443859359488734,25,25
731,0.7086477471744708,1.1383700598266486,0.0,24.29135225282553,25.44164560169776,25,25
732,-0.37033309090995203,-1.0789808380844228,0.0,25.370333090909952,25.43944288506983,25,25
733,-0.6708028981960226,-0.30046980728607053,0.0,25.670802898196023,25.437251154536916,25,25
734,-0.598477241624721,0.07232565657130152,0.0,25.59847724162472,25.43507035530564,25,25
735,-0.23150834713545265,0.3669688944892684,0.0,25.231508347135453,25.432900432855906,25,25
736,-1.279858883040319,-1.0483505359048664,0.0,26.27985888304032,25.43074133293954,25,25
737,-0.4775822114883397,0.8022766715519793,0.0,25.47758221148834,25.428593001578932,25,25
738,-0.4928463789486095,-0.015264167460269817,0.0,25.49284637894861,25.426455385065687,25,25
739,-0.8734408347936373,-0.3805944558450278,0.0,25.873440834793637,25.42432842995928,25,25
740,-0.5279233942361721,0.34551744055746525,0.0,25.527923394236172,25.42221208308572,25,25
741,-0.4659345044163352,0.06198888981983686,0.0,25.465934504416335,25.420106291536232,25,25
742,-0.4032477287772025,0.06268677563913272,0.0,25.403247728777202,25.41801100266591,25,25
743,-1.0400366009411748,-0.6367888721639723,0.0,26.040036600941175,25.415926164092426,25,25
744,-0.6375293095306382,0.40250729141053654,0.0,25.63752930953064,25.41385172369471,25,25
745,0.052825380842907776,0.690354690373546,0.0,24.947174619157092,25.411787629611634,25,25
746,-0.8475455007107762,-0.9003708815536839,0.0,25.847545500710776,25.40973383024075,25,25
747,-0.9758796122878586,-0.1283341115770824,0.0,25.97587961228786,25.407690274236963,25,25
748,-1.1756035726682086,-0.19972396038035,0.0,26.17560357266821,25.40565691051126,25,25
749,-1.0816684362482505,0.0939351364199581,0.0,26.08166843624825,25.403633688229455,25,25
750,0.34784005055797707,1.4295084868062276,0.0,24.652159949442023,25.401620556810876,25,25
751,-0.7809557328746202,-1.1287957834325972,0.0,25.78095573287462,25.399617465927136,25,25
752,-1.497467567363227,-0.7165118344886068,0.0,26.497467567363227,25.397624365500857,25,25
753,-1.1195650374283161,0.3779025299349108,0.0,26.119565037428316,25.395641205704425,25,25
754,-0.7129968494053855,0.4065681880229306,0.0,25.712996849405386,25.393667936958742,25,25
755,0.10534138102319446,0.81833823042858,0.0,24.894658618976806,25.391704509931987,25,25
756,-0.7116458435340327,-0.8169872245572272,0.0,25.711645843534033,25.38975087553838,25,25
757,0.021939151615111285,0.733584995149144,0.0,24.97806084838489,25.38780698493696,25,25
758,-0.47750106674282833,-0.4994402183579396,0.0,25.47750106674283,25.385872789530367,25,25
759,-0.9383714842394859,-0.4608704174966576,0.0,25.938371484239486,25.383948240963605,25,25
760,-0.9019338525599849,0.03643763167950098,0.0,25.901933852559985,25.382033291122866,25,25
761,-0.13995932171190262,0.7619745308480823,0.0,25.139959321711903,25.380127892134304,25,25
762,0.7267017571450296,0.8666610788569322,0.0,24.27329824285497,25.378231996362842,25,25
763,0.6510955305840014,-0.07560622656102822,0.0,24.348904469416,25.37634555641099,25,25
764,-0.568536148362984,-1.2196316789469854,0.0,25.568536148362984,25.37446852511765,25,25
765,-0.37036758198704334,0.1981685663759407,0.0,25.370367581987043,25.37260085555694,25,25
766,0.09600075256390284,0.4663683345509462,0.0,24.903999247436097,25.370742501037025,25,25
767,-1.133171473167625,-1.2291722257315278,0.0,26.133171473167625,25.368893415098945,25,25
768,-1.1355752618442985,-0.0024037886766734573,0.0,26.1355752618443,25.367053551515458,25,25
769,-0.05639482017796027,1.0791804416663382,0.0,25.05639482017796,25.365222864289876,25,25
